Carimbo de data/hora,"Deseja participar? Ao clicar em ""sim"" você reconhece e concorda com as condições de participação desta pesquisa.",Idade:,Gênero,Ocupação,Formação academica,Você trabalha para,Qual o tamanho da instituição em que você trabalha,Você conhece a LGPD?,Você aplica a legislação preconizada na LGPD em seu trabalho?,Quão importante é o emprego da LGPD no contexto do seu trabalho?,Você sente dificuldade em compreender os detalhes dessa lei?,Analise os itens e responda de acordo com seu nível de concordância [Houve dificuldade na leitura dos dados do quiz],Analise os itens e responda de acordo com seu nível de concordância [Houve tempo de retorno para visualização do score e dicas],Analise os itens e responda de acordo com seu nível de concordância [A ferramenta é de dificil uso e compreensão],Analise os itens e responda de acordo com seu nível de concordância [As perguntas do quiz estão de acordo com a LGPD],Analise os itens e responda de acordo com seu nível de concordância [A ferramenta possui dicas sobre a LGPD a cada pergunta respondida],Analise os itens e responda de acordo com seu nível de concordância [A ferramenta contribuiu para adequação do meu projeto a LGPD],"Marque, pelo menos, três opções que a ferramenta deve enfatizar sobre a LGPD?","Se existir outro tema que você julga importante sobre a LGPD e não foi listado anteriormente, qual(ais) seria(am)?",Será que a ferramenta pode torná-lo mais confiante sobre seus julgamentos a respeito da LGPD? ,"Se você pudesse mudar alguma coisa no (ou em algum outro) LGPD Compliance, o que seria?",Deseja acrescentar algo que não foi contemplado na pesquisa a respeito do uso da ferramenta LGPD Compliance?
29/07/2022 10:18:31,Sim,Entre 31 e 40 anos,Homem,Profissional da área do direito,Mestrado,Setor Privado,Entre 1 e 19 colaboradores (Microempresa),Sim,Sim,Importante,Sim,Discordo Totalmente,Concordo,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Dados anonimizados, Dados de interesse público, Transparência de dados",Creqio que a ferramenta poderia ser mais colaborativa. Alguns colegas poderiam tecer comentários específicos sobre determinados trechos da lei. Creqio que um fórum de discussão seja uma opção válida,Sim,respondido no item anterior,
29/07/2022 23:53:28,Sim,Entre 26 e 30 anos,Homem,Profissional da área do direito,Mestrado,Setor Privado,Entre 20 e 99 colaboradores  (Pequena empresa),Sim,Não,Importante,Sim,Discordo Totalmente,Concordo,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,"Compartilhamento de dados, Dados anonimizados, Segurança de dados",,Sim,Nada,
30/07/2022 00:03:11,Sim,Entre 21 e 25 anos,Mulher,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Sim,Importante,Sim,Discordo Totalmente,Discordo Totalmente,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Bases da lei, Conceitos da lei, Compartilhamento de dados, Segurança de dados",,Sim,nd,nd
30/07/2022 00:07:27,Sim,Mais que 41 anos,Mulher,Profissional da área do direito,Graduação,Setor Privado,Entre 20 e 99 colaboradores  (Pequena empresa),Sim,Sim,Muito importante,Não,Discordo Totalmente,Discordo Totalmente,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Bases da lei, Conceitos da lei, Compartilhamento de dados, Dados de interesse público, Segurança de dados",,Sim,Não mudaria nada,Não
30/07/2022 00:12:33,Sim,Mais que 41 anos,Homem,Profissional da área do direito,Doutorado,Setor Público,Entre 20 e 99 colaboradores  (Pequena empresa),Sim,Sim,Importante,Não,Discordo Totalmente,Indeciso,Concordo,Concordo Totalmente,Concordo,Concordo,"Compartilhamento de dados, Dados anonimizados, Dados de interesse público",,Sim,Nada,
30/07/2022 00:18:55,Sim,Entre 21 e 25 anos,Mulher,Profissional da área do direito,Graduação,Setor Privado,Entre 100 e 499 colaboradores (Média empresa),Sim,Sim,Importante,Sim,Discordo,Indeciso,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Bases da lei, Compartilhamento de dados, Segurança de dados",,Sim,Nada a alterar,
30/07/2022 00:31:50,Sim,Entre 26 e 30 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Entre 20 e 99 colaboradores  (Pequena empresa),Sim,Não,Importante,Sim,Discordo Totalmente,Concordo,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Bases da lei, Compartilhamento de dados, Dados sensíveis",,Sim,Nada,
30/07/2022 00:35:16,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Ensino Médio,Setor Privado,Entre 100 e 499 colaboradores (Média empresa),Sim,Sim,Muito importante,Sim,Indeciso,Indeciso,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,"Compartilhamento de dados, Dados sensíveis, Segurança de dados, Transparência de dados",,Sim,Forma de organização das informações ,
30/07/2022 06:33:41,Sim,Entre 26 e 30 anos,Mulher,Profissional da área do direito,Especialização,Setor Público,Entre 20 e 99 colaboradores  (Pequena empresa),Sim,Sim,Importante,Sim,Discordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,"Conceitos da lei, Dados sensíveis",,Sim,Colocaria o score por divisoes da LGPD.,
31/07/2022 02:31:53,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Sim,Muito importante,Sim,Discordo Totalmente,Concordo,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo,"Dados de interesse público, Segurança de dados, Transparência de dados",Não ,Sim,Nada,Não 
